Time resolution is 1 ps
out[0] row=2 col=3 ch=1 y=0
out[1] row=2 col=3 ch=2 y=7
out[2] row=2 col=3 ch=3 y=99
out[3] row=2 col=3 ch=0 y=8
out[4] row=2 col=4 ch=1 y=0
out[5] row=2 col=4 ch=2 y=7
out[6] row=2 col=4 ch=3 y=101
out[7] row=2 col=4 ch=0 y=9
out[8] row=2 col=5 ch=1 y=0
out[9] row=2 col=5 ch=2 y=7
out[10] row=2 col=5 ch=3 y=103
out[11] row=2 col=5 ch=0 y=10
out[12] row=2 col=6 ch=1 y=0
out[13] row=2 col=6 ch=2 y=7
out[14] row=2 col=6 ch=3 y=105
out[15] row=2 col=6 ch=0 y=11
out[16] row=2 col=7 ch=1 y=0
out[17] row=2 col=7 ch=2 y=7
out[18] row=2 col=7 ch=3 y=107
out[19] row=2 col=7 ch=0 y=12
out[20] row=3 col=0 ch=1 y=0
out[21] row=3 col=0 ch=2 y=0
out[22] row=3 col=0 ch=3 y=37
out[23] row=3 col=0 ch=0 y=0
out[24] row=3 col=3 ch=1 y=0
out[25] row=3 col=3 ch=2 y=7
out[26] row=3 col=3 ch=3 y=115
out[27] row=3 col=3 ch=0 y=16
out[28] row=3 col=4 ch=1 y=0
out[29] row=3 col=4 ch=2 y=7
out[30] row=3 col=4 ch=3 y=117
out[31] row=3 col=4 ch=0 y=17
out[32] row=3 col=5 ch=1 y=0
out[33] row=3 col=5 ch=2 y=7
out[34] row=3 col=5 ch=3 y=119
out[35] row=3 col=5 ch=0 y=18
out[36] row=3 col=6 ch=1 y=0
out[37] row=3 col=6 ch=2 y=7
out[38] row=3 col=6 ch=3 y=121
out[39] row=3 col=6 ch=0 y=19
out[40] row=3 col=7 ch=1 y=0
out[41] row=3 col=7 ch=2 y=7
out[42] row=3 col=7 ch=3 y=123
out[43] row=3 col=7 ch=0 y=20
out[44] row=4 col=0 ch=1 y=0
out[45] row=4 col=0 ch=2 y=0
out[46] row=4 col=0 ch=3 y=117
out[47] row=4 col=0 ch=0 y=13
out[48] row=4 col=3 ch=1 y=0
out[49] row=4 col=3 ch=2 y=7
out[50] row=4 col=3 ch=3 y=131
out[51] row=4 col=3 ch=0 y=24
out[52] row=4 col=4 ch=1 y=0
out[53] row=4 col=4 ch=2 y=7
out[54] row=4 col=4 ch=3 y=133
out[55] row=4 col=4 ch=0 y=25
out[56] row=4 col=5 ch=1 y=0
out[57] row=4 col=5 ch=2 y=7
out[58] row=4 col=5 ch=3 y=135
out[59] row=4 col=5 ch=0 y=26
out[60] row=4 col=6 ch=1 y=0
out[61] row=4 col=6 ch=2 y=7
out[62] row=4 col=6 ch=3 y=137
out[63] row=4 col=6 ch=0 y=27
out[64] row=4 col=7 ch=1 y=0
out[65] row=4 col=7 ch=2 y=7
out[66] row=4 col=7 ch=3 y=139
out[67] row=4 col=7 ch=0 y=28
out[68] row=5 col=0 ch=1 y=0
out[69] row=5 col=0 ch=2 y=0
out[70] row=5 col=0 ch=3 y=133
out[71] row=5 col=0 ch=0 y=21
out[72] row=5 col=3 ch=1 y=0
out[73] row=5 col=3 ch=2 y=7
out[74] row=5 col=3 ch=3 y=147
out[75] row=5 col=3 ch=0 y=32
out[76] row=5 col=4 ch=1 y=0
out[77] row=5 col=4 ch=2 y=7
out[78] row=5 col=4 ch=3 y=149
out[79] row=5 col=4 ch=0 y=33
out[80] row=5 col=5 ch=1 y=0
out[81] row=5 col=5 ch=2 y=7
