Time resolution is 1 ps
out[0] row=2 col=3 ch=1 y=0
out[1] row=2 col=3 ch=2 y=0
out[2] row=2 col=3 ch=3 y=0
out[3] row=2 col=3 ch=0 y=7
out[4] row=2 col=4 ch=1 y=0
out[5] row=2 col=4 ch=2 y=0
out[6] row=2 col=4 ch=3 y=0
out[7] row=2 col=4 ch=0 y=7
out[8] row=2 col=5 ch=1 y=0
out[9] row=2 col=5 ch=2 y=0
out[10] row=2 col=5 ch=3 y=0
out[11] row=2 col=5 ch=0 y=7
out[12] row=2 col=6 ch=1 y=0
out[13] row=2 col=6 ch=2 y=0
out[14] row=2 col=6 ch=3 y=0
out[15] row=2 col=6 ch=0 y=7
out[16] row=2 col=7 ch=1 y=0
out[17] row=2 col=7 ch=2 y=0
out[18] row=2 col=7 ch=3 y=0
out[19] row=2 col=7 ch=0 y=7
out[20] row=3 col=0 ch=1 y=17
out[21] row=3 col=0 ch=2 y=0
out[22] row=3 col=0 ch=3 y=0
out[23] row=3 col=0 ch=0 y=0
out[24] row=3 col=3 ch=1 y=0
out[25] row=3 col=3 ch=2 y=0
out[26] row=3 col=3 ch=3 y=0
out[27] row=3 col=3 ch=0 y=7
out[28] row=3 col=4 ch=1 y=0
out[29] row=3 col=4 ch=2 y=0
out[30] row=3 col=4 ch=3 y=0
out[31] row=3 col=4 ch=0 y=7
out[32] row=3 col=5 ch=1 y=0
out[33] row=3 col=5 ch=2 y=0
out[34] row=3 col=5 ch=3 y=0
out[35] row=3 col=5 ch=0 y=7
out[36] row=3 col=6 ch=1 y=0
out[37] row=3 col=6 ch=2 y=0
out[38] row=3 col=6 ch=3 y=0
out[39] row=3 col=6 ch=0 y=7
out[40] row=3 col=7 ch=1 y=0
out[41] row=3 col=7 ch=2 y=0
out[42] row=3 col=7 ch=3 y=0
out[43] row=3 col=7 ch=0 y=7
out[44] row=4 col=0 ch=1 y=17
out[45] row=4 col=0 ch=2 y=0
out[46] row=4 col=0 ch=3 y=0
out[47] row=4 col=0 ch=0 y=0
out[48] row=4 col=3 ch=1 y=0
out[49] row=4 col=3 ch=2 y=0
out[50] row=4 col=3 ch=3 y=0
out[51] row=4 col=3 ch=0 y=7
out[52] row=4 col=4 ch=1 y=0
out[53] row=4 col=4 ch=2 y=0
out[54] row=4 col=4 ch=3 y=0
out[55] row=4 col=4 ch=0 y=7
out[56] row=4 col=5 ch=1 y=0
out[57] row=4 col=5 ch=2 y=0
out[58] row=4 col=5 ch=3 y=0
out[59] row=4 col=5 ch=0 y=7
out[60] row=4 col=6 ch=1 y=0
out[61] row=4 col=6 ch=2 y=0
out[62] row=4 col=6 ch=3 y=0
out[63] row=4 col=6 ch=0 y=7
out[64] row=4 col=7 ch=1 y=0
out[65] row=4 col=7 ch=2 y=0
out[66] row=4 col=7 ch=3 y=0
out[67] row=4 col=7 ch=0 y=7
out[68] row=5 col=0 ch=1 y=17
out[69] row=5 col=0 ch=2 y=0
out[70] row=5 col=0 ch=3 y=0
out[71] row=5 col=0 ch=0 y=0
out[72] row=5 col=3 ch=1 y=0
out[73] row=5 col=3 ch=2 y=0
out[74] row=5 col=3 ch=3 y=0
out[75] row=5 col=3 ch=0 y=7
out[76] row=5 col=4 ch=1 y=0
out[77] row=5 col=4 ch=2 y=0
out[78] row=5 col=4 ch=3 y=0
out[79] row=5 col=4 ch=0 y=7
out[80] row=5 col=5 ch=1 y=0
out[81] row=5 col=5 ch=2 y=0
out[82] row=5 col=5 ch=3 y=0
out[83] row=5 col=5 ch=0 y=7
out[84] row=5 col=6 ch=1 y=0
out[85] row=5 col=6 ch=2 y=0
out[86] row=5 col=6 ch=3 y=0
out[87] row=5 col=6 ch=0 y=7
out[88] row=5 col=7 ch=1 y=0
out[89] row=5 col=7 ch=2 y=0
out[90] row=5 col=7 ch=3 y=0
out[91] row=5 col=7 ch=0 y=7
out[92] row=6 col=0 ch=1 y=17
