Time resolution is 1 ps
out[0] row=2 col=4 ch=1 y=0
out[1] row=2 col=5 ch=2 y=0
out[2] row=2 col=6 ch=3 y=0
out[3] row=2 col=7 ch=0 y=7
out[4] row=3 col=1 ch=1 y=0
out[5] row=3 col=2 ch=2 y=0
out[6] row=3 col=3 ch=3 y=0
out[7] row=3 col=4 ch=0 y=7
out[8] row=3 col=6 ch=1 y=0
out[9] row=3 col=7 ch=2 y=0
out[10] row=4 col=0 ch=3 y=0
out[11] row=4 col=1 ch=0 y=37
out[12] row=4 col=4 ch=1 y=0
out[13] row=4 col=5 ch=2 y=0
out[14] row=4 col=6 ch=3 y=0
out[15] row=4 col=7 ch=0 y=7
out[16] row=5 col=1 ch=1 y=0
out[17] row=5 col=2 ch=2 y=0
out[18] row=5 col=3 ch=3 y=0
out[19] row=5 col=4 ch=0 y=7
out[20] row=5 col=6 ch=1 y=0
out[21] row=5 col=7 ch=2 y=0
out[22] row=6 col=0 ch=3 y=0
out[23] row=6 col=1 ch=0 y=53
out[24] row=6 col=4 ch=1 y=0
out[25] row=6 col=5 ch=2 y=0
out[26] row=6 col=6 ch=3 y=0
out[27] row=6 col=7 ch=0 y=7
out[28] row=7 col=1 ch=1 y=0
out[29] row=7 col=2 ch=2 y=0
out[30] row=7 col=3 ch=3 y=0
out[31] row=7 col=4 ch=0 y=7
out[32] row=7 col=6 ch=1 y=0
out[33] row=7 col=7 ch=2 y=0
out[34] row=0 col=0 ch=3 y=0
out[35] row=0 col=0 ch=0 y=69
